,LPRIORITY,LPRIORITY,Dominant layer (1 or 2),SHORT,"indicates which layer is dominant:
 ● if FST =1 then LPRIORITY = 1
 ● if FST=3 then LPRIORITY=2
 ● if FST=2 then LPRIORITY=1 unless L1CC=1 & L2CC > 1 or L1CC=1 & L2CC=1 and latest harvest treatment is a partial harvest code then LPRIORITY=2",Strate dominante (1 ou 2),"Indique quelle strate est dominante :
 ● si TPF =1, alors SPRIORIT = 1
 ● si TPF=3, alors SPRIORIT=2
 ● si TPF=2, alors SPRIORIT=1, à moins que S1FC=1 et S2FC > 1 ou S1FC=1 et S2FC=1 et que le dernier traitement de la récolte porte le code de récolte partielle, alors SPRIORIT=2"
,L1DATASRC,L1DATASRC,Source of stand data:        ,TEXT,,Source des données sur le peuplement :        ,
,,L1DATAYR,Year of merchantable layer data,SHORT,,Année des données sur la strate marchande ,
,L1FUNA,L1FUNA,Merchantable layer forest unit name based on species composition (2008 algorithm),TEXT,,Nom de l'unité forestière de la strate marchande selon la composition des essences (algorithme de 2008),
,,L1ESTABYR,Year of merchantable layer establishment (based on treatment year),SHORT,,Année d'établissement de la strate marchande (selon l'année du traitement),
,,L1ARYR,Year of merchantable layer establishment (based on advanced regeneration),SHORT,,Année d'établissement de la strate marchande (selon la régénération préexistante),
,L1S1-L1S5,L1S1,Merchantable layer first species code (in order of predominance),TEXT,,Code de la première essence de la strate marchande (par ordre d’importance),
,L1DS1-L1DS5,L1DS1,Merchantable layer first species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la première essence de la strate marchande  ,
,L1PR1-L1PR5,L1PR1,Merchantable layer first species percent ratio,SHORT,,Ratio en pourcentage de la première essence de la strate marchande,
,,L1S2,Merchantable layer second species code,TEXT,,Code de la deuxième essence de la strate marchande,
,,L1DS2,Merchantable layer second species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la deuxième essence de la strate marchande ,
,,L1PR2,Merchantable layer second species percent ratio,SHORT,,Ratio en pourcentage de la deuxième essence de la strate marchande,
,,L1S3,Merchantable layer third species code,TEXT,,Code de la troisième essence de la strate marchande,
,,L1DS3,Merchantable layer third species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la troisième essence de la strate marchande ,
,,L1PR3,Merchantable layer third species percent ratio,SHORT,,Ratio en pourcentage de la troisième essence de la strate marchande,
,,L1S4,Merchantable layer fourth species code,TEXT,,Code de la quatrième essence de la strate marchande,
,,L1DS4,Merchantable layer fourth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la quatrième essence de la strate marchande,
,,L1PR4,Merchantable layer fourth species percent ratio,SHORT,,Ratio en pourcentage de la quatrième essence de la strate marchande,
,,L1S5,Merchantable layer fifth species code,TEXT,,Code de la cinquième essence de la strate marchande,
,,L1DS5,Merchantable layer fifth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la cinquième essence de la strate marchande,
,,L1PR5,Merchantable layer fifth species percent ratio,SHORT,,Ratio en pourcentage de la cinquième essence de la strate marchande,
,L1DS,L1DS,Merchantable layer development stage,TEXT,,Stade de développement de la strate marchande ,
,L1CCI,L1CCI,Merchantable layer variable crown closure indicator,SHORT,,Indicateur de fermeture variable du couvert de la strate marchande,
,L1CC,L1CC,Merchantable layer crown closure code,SHORT,,Code de fermeture du couvert de la strate marchande,
,,L1VOL,Merchantable layer volume (m3/ha),SHORT,L1VOL (merchantable volume standing) will continue to be collected till the end of the current interpretation cycle while L1BA will be optionally submitted via forest updates,Volume de la strate marchande (m3/ha),"On continuera de recueillir les données de S1VOL (volume marchand debout) jusqu'à la fin du cycle d'interprétation actuel, tandis qu'on présentera les données de S1ST de manière facultative par l'entremise des mises à jour sur la forêt."
,,L1BA,Merchantable layer residual basal area (m2/ha),SHORT,,Surface terrière résiduelle de la strate marchande (m2/ha),
,L1PSTOCK,L1PSTOCK,Merchantable layer planted species stocking class,SHORT,,Classe de densité relative des essences plantées dans la strate marchande ,
,L1VS,L1VS,Merchantable layer number of canopy layers,SHORT,,Nombre de strates du couvert de la strate marchande,
,,L1HT,Merchantable layer average height in metres,SHORT,,"Hauteur moyenne de la strate marchande, en mètres",
,L1DC,L1DC,Merchantable layer density class,SHORT,,Catégorie de densité de la strate marchande,
,L1SC,L1SC,Merchantable layer size class,SHORT,,Catégorie de taille de la strate marchande,
,L2DATASRC,L2DATASRC,Source of unmerchantable layer data,TEXT,,Source des données sur la strate non marchande,
,,L2DATAYR,Year of unmerchantable layer data,SHORT,,Année des données sur la strate non marchande,
,L2FUNA,L2FUNA,Unmerchantable layer forest unit name based on species composition (2008 algorithm),TEXT,,Nom de l'unité forestière de la strate non marchande selon la composition des essences (algorithme de 2008),
,,L2ESTABYR,Year of unmerchantable layer establishment (based on treatment year),SHORT,,Année d'établissement de la strate non marchande (selon l'année du traitement),
,,L2ARYR,Year of unmerchantable layer establishment (based on advanced regeneration),SHORT,,Année d'établissement de la strate non marchande (selon la régénération préexistante),
,L2S1-L2S5,L2S1,Unmerchantable layer first species code (in order of predominance),TEXT,,Code de la première essence de la strate non marchande (par ordre d’importance),
,L2DS1-L2DS5,L2DS1,Unmerchantable layer first species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la première essence de la strate non marchande  ,
,L2PR1-L2PR5,L2PR1,Unmerchantable layer first species percent ratio,SHORT,,Ratio en pourcentage de la première essence de la strate non marchande,
,,L2S2,Unmerchantable layer second species code,TEXT,,Code de la deuxième essence de la strate non marchande,
,,L2DS2,Unmerchantable layer second species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la deuxième essence de la strate non marchande ,
,,L2PR2,Unmerchantable layer second species percent ratio,SHORT,,Ratio en pourcentage de la deuxième essence de la strate non marchande,
,,L2S3,Unmerchantable layer third species code,TEXT,,Code de la troisième essence de la strate non marchande,
,,L2DS3,Unmerchantable layer third species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la troisième essence de la strate non marchande ,
,,L2PR3,Unmerchantable layer third species percent ratio,SHORT,,Ratio en pourcentage de la troisième essence de la strate non marchande,
,,L2S4,Unmerchantable layer fourth species code,TEXT,,Code de la quatrième essence de la strate non marchande,
,,L2DS4,Unmerchantable layer fourth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la quatrième essence de la strate non marchande,
,,L2PR4,Unmerchantable layer fourth species percent ratio,SHORT,,Ratio en pourcentage de la quatrième essence de la strate non marchande,
,,L2S5,Unmerchantable layer fifth species code,TEXT,,Code de la cinquième essence de la strate non marchande,
,,L2DS5,Unmerchantable layer fifth species development stage/age class,TEXT,,Stade de développement/catégorie d'âge de la cinquième essence de la strate non marchande,
,,L2PR5,Unmerchantable layer fifth species percent ratio,SHORT,,Ratio en pourcentage de la cinquième essence de la strate non marchande,
,L2DS,L2DS,Unmerchantable layer development stage,TEXT,,Stade de développement de la strate non marchande ,
,L2CCI,L2CCI,Unmerchantable layer variable crown closure indicator,SHORT,,Indicateur de fermeture variable du couvert de la strate non marchande,
,L2CC,L2CC,Unmerchantable layer crown closure code,SHORT,,Code de fermeture du couvert de la strate non marchande,
,L2PSTOCK,L2PSTOCK,Unmerchantable layer planted species stocking class ,SHORT,,Classe de densité relative des essences plantées dans la strate non marchande  ,
,L2NSTOCK,L2NSTOCK,Unmerchantable layer natural stocking class ,SHORT,,Classe de densité relative des essences naturelles dans la strate non marchande,
,L2VS,L2VS,Unmerchantable layer number of canopy layers,SHORT,,Nombre de strates de couvert dans la strate non marchande,
,,L2HT,Unmerchantable layer average height in metres,SHORT,,"Hauteur moyenne de la strate non marchande, en mètres",
,L2DC,L2DC,Unmerchantable layer density class,SHORT,,Classe de densité de la strate non marchande,
,,HARV_ID,Latest harvest treatment identifier (clearcut or partial),TEXT,,Identifiant du dernier traitement de la récolte (coupe à blanc ou partielle),
,,PLANT_ID,Latest Reforestation treatment identifier,TEXT,,Identifiant du dernier traitement du reboisement,
,,THIN_ID,Latest Stand Improvement treatment identifier,TEXT,,Identifiant du dernier traitement d'amélioration du peuplement,
,LHARVTRT,LHARVTRT,Licensee harvest treatment code,TEXT,,Code du traitement de la récolte par le titulaire du permis,
,,LIC_KEY,Link to licensee database (for use by licensee),TEXT,,Lien vers la base de données sur les titulaires de permis (à l'usage des titulaires de permis),
,,SHAPE.AREA,Polygon area in square metres,DOUBLE,,Superficie du polygone en mètres carrés,
