OBJECTID,NB_CODE,LEGEND_DESCRIPTION_1,LEGEND_DESCRIPTION_2,LEXICON_ID,LEXICON_LINK,TECT_BELT,TECT_BELT_CODE,SUPERGROUP,GROUP_SUITE,GROUP_SUITE_CODE,FORMATION_INTRUSION,FORMATION_INTRUSION_CODE,MEMBER_PHASE,MEMBER_CODE,LITHOTYPE,LITHOTYPE_CODE,AGE_FROM_LONG,AGE_FROM_SYMBOL,AGE_FROM_CODE,AGE_TO_LONG,AGE_TO_SYMBOL,AGE_TO_CODE,UNIT_LABEL_SYMBOLIZED,UNIT_LABEL_COMMON,GROUP_LABEL_SYMBOLIZED,GROUP_LABEL_COMMON,AGE_CODE
974,ASH-mb,"White to grey and light green,  generally banded and locally stromatolitic marble,  black to brown pelite, massive spotted hornfels, and white to grey, fine-grained quartzite; minor marble-pebble conglomerate and mica schist.",,10,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=10,Brookville,Bro,none,Green Head Group,GH,Ashburn Formation,ASH,none,,marble,mb,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªASHmb,Ed-ASH-mb,ªGH,Ed-GH,
975,BCK-mc,"Grey shale and siltstone, medium- to thick-bedded quartz arenite, quartz wacke and minor red siltstone and conglomerate.",,11,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=11,Mascarene,Mas,none,Mascarene Group,MC,Back Bay Formation,BCK,none,,medium-grained clastic sedimentary rocks,mc,Early Silurian,EÂ,E-Sl,Early Silurian,EÂ,E-Sl,ÂBCKmc,Sl-BCK-mc,µÂMC,OdSl-MC,
976,BYR-fv,"Greyish red to brown, quartz- and feldspar-phyric lava and associated intrusive rocks.",,12,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=12,Late Devonian-Early Carboniferous Volcanic Rocks,Dcv,none,Piskahegan Group,PS,Bailey Rock Rhyolite,BYR,none,,felsic flows,fv,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨BYRfv,Dv-BYR-fv,¨PS,Dv-PS,
977,BLD-fv,"Light greenish grey to pink rhyolite, and flow-banded and spherulitic rhyolite; locally intensely quartz-veined and phyllitic felsic tuffaceous rocks; pink microgranite and rare fine-to medium-grained equigranular granite.",,2026,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2026,Annidale,Ann,none,Annidale Group,AN,Bald Hill Formation,BLD,none,,felsic flows,fv,Cambrian,£,Cm,Cambrian,£,Cm,£BLDfv,Cm-BLD-fv,£µAN,CmOd-AN,
978,BLS-cc,"Red and grey, polymictic conglomerate, reddish green polymictic, pebbly sandstone, parallel-laminated, grey and maroon sandstone and siltstone.",,13,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=13,Maritimes Basin,Mar,none,Mabou Group,MB,Balls Lake Formation,BLS,none,,coarse-grained clastic sedimentary rocks,cc,Mississippian - Carboniferous,²¤,Ms-Cb,Mississippian - Carboniferous,²¤,Ms-Cb,²¤BLScc,Ms-Cb-BLS-cc,²¤MB,Ms-Cb-MB,
979,BAR-fia,"Light pink, biotite granite.",,15,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=15,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Baring Granite,BAR,a,,felsic intrusive rocks,fi,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBARfia,Sl-BAR-fia,ÂBAR,Sl-BAR,
980,BAR-fib,Marginal phase of fine-grained granophyric granite containing abundant gabbro xenoliths.,,15,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=15,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Baring Granite,BAR,b,,felsic intrusive rocks,fi,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBARfib,Sl-BAR-fib,ÂBAR,Sl-BAR,
981,BAR-ii,"Grey, biotite-hornblende quartz diorite.",,15,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=15,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Baring Granite,BAR,none,,intermediate intrusive rocks,ii,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBARii,Sl-BAR-ii,ÂBAR,Sl-BAR,
982,BRB-fi,"Medium grey to greyish pink,  fine- to medium-grained, weakly to strongly foliated,  equigranular to alkali-feldspar-phyric granite.",,16,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=16,Miramichi South,Mms,none,none,,Barracks Brook Granite,BRB,none,,felsic intrusive rocks,fi,Early Ordovician,Eµ,E-Od,Early Ordovician,Eµ,E-Od,µBRBfi,Od-BRB-fi,µBRB,Od-BRB,
983,BSK-mc,"Light grey to light green, fine- to medium-grained, medium- to thick-bedded quartzite interbedded with grey to greenish grey, thin- to medium-bedded quartz wacke, and olive green silty shale; minor red sandstone and shale.",,17,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=17,Miramichi South,Mms,none,Woodstock Group,WD,Baskahegan Lake Formation,BSK,none,,medium-grained clastic sedimentary rocks,mc,Cambrian,£,Cm,Early Ordovician,Eµ,E-Od,£BSKmc,Cm-BSK-mc,£µWD,CmOd-WD,
984,BXT-ii,"Grey, medium-grained quartz diorite, fine- to medium-grained gabbro, and pink to grey, fine- to medium-grained granite and granophyric granite.",,19,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=19,Caledonia,Cal,none,none,,Baxters Mountain Diorite,BXT,none,,intermediate intrusive rocks,ii,Late Ediacaran,Lª,L-Ed,Late Ediacaran,Lª,L-Ed,ªBXTii,Ed-BXT-ii,ªBXT,Ed-BXT,
985,BYW-it,"Light grey to pink, dacitic to rhyolitic crystal and lithic-crystal lapilli tuff with abundant amphibolitic sheets; minor andesitic tuff, tuffaceous siltstone and phyllitic rhyolite.",,20,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=20,Kingston,Ktn,none,Kingston Group,KT,Bayswater Formation,BYW,none,,intermediate tuff,it,Early Silurian,EÂ,E-Sl,Early Silurian,EÂ,E-Sl,ÂBYWit,Sl-BYW-it,ÂKT,Sl-KT,
986,BYW-vs,"Intercalated pink to brown felsic volcanic rocks, grey to green mafic volcanic rocks, and medium to dark grey shale and wacke; commonly mylonitic with screens of dark greenish grey gabbro and amphibolite.",,20,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=20,Kingston,Ktn,none,Kingston Group,KT,Bayswater Formation,BYW,none,,mixed volcanic and sedimentary rocks,vs,Early Silurian,EÂ,E-Sl,Early Silurian,EÂ,E-Sl,ÂBYWvs,Sl-BYW-vs,ÂKT,Sl-KT,
987,BDL-fi,"Light pink,  medium- to coarse-grained, equigranular, muscovite,  muscovite-biotite, and biotite-muscovite granite, locally containing pods of tourmaline-muscovite pegmatite.",,21,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=21,Late Silurian-Late Devonian Intrusions,Sdi,none,none,,Beadle Mountain Granite,BDL,none,,felsic intrusive rocks,fi,Early Devonian,E¨,E-Dv,Early Devonian,E¨,E-Dv,¨BDLfi,Dv-BDL-fi,¨BDL,Dv-BDL,
988,BVR-fi,Dark brown quartz-feldspar porphyry.,,2016,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2016,New River,New,none,New River Plutonic Suite,NR,Beaver Harbour Porphyry,BVR,none,,felsic intrusive rocks,fi,Late Ediacaran,Lª,L-Ed,Late Ediacaran,Lª,L-Ed,ªBVRfi,Ed-BVR-fi,ªNR,Ed-NR,
989,BCG-fi,"Porphyritic hornblende-biotite granite, and dykes of diabase.",,23,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=23,Tobique-Chaleur,Tob,none,none,,Becaguimec Lake Gabbro,BCG,none,,felsic intrusive rocks,fi,Early Devonian,E¨,E-Dv,Early Devonian,E¨,E-Dv,¨BCGfi,Dv-BCG-fi,¨BCG,Dv-BCG,
990,BCG-mi,"Dark greyish green, medium- to coarse- grained, ophitic gabbro; troctolite is abundant in the southern portion.",,23,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=23,Tobique-Chaleur,Tob,none,none,,Becaguimec Lake Gabbro,BCG,none,,mafic intrusive rocks,mi,Early Devonian,E¨,E-Dv,Early Devonian,E¨,E-Dv,¨BCGmi,Dv-BCG-mi,¨BCG,Dv-BCG,
991,BHH-fi,"Dark pink, biotite-feldspar-quartz-phyric microgranite.",,24,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=24,Late Silurian-Late Devonian Intrusions,Sdi,none,Saint George Plutonic Suite,SG,Beech Hill Granite,BHH,none,,felsic intrusive rocks,fi,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨BHHfi,Dv-BHH-fi,Â¨SG,SlDv-SG,
992,BLL-mc,"Light grey to olive-green, thin- to medium-bedded, feldspathic wacke interstratified with medium grey to black shale.",,25,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=25,Miramichi South,Mms,none,Meductic Group,MD,Belle Lake Formation,BLL,none,,medium-grained clastic sedimentary rocks,mc,Late Ordovician,Lµ,L-Od,Late Ordovician,Lµ,L-Od,µBLLmc,Od-BLL-mc,µMD,Od-MD,
993,BRM-c,"Mainly deformed clasts of sedimentary rocks, and lesser (local) mafic volcanic or ultra mafic igneous rocks,  in a dark grey to black shale matrix.",,26,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=26,Elmtree,Elm,none,none,,Belledune River Mélange,BRM,none,,clastic sedimentary rocks,c,Late Ordovician,Lµ,L-Od,Early Silurian,EÂ,E-Sl,µBRMc,Od-BRM-c,µÂBRM,OdSl-BRM,
994,BRM-mv,"Mainly deformed mafic volcanic rocks,  minor lithic wacke, red shale and chert.",,26,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=26,Elmtree,Elm,none,none,,Belledune River Mélange,BRM,none,,mafic flows,mv,Late Ordovician,Lµ,L-Od,Early Silurian,EÂ,E-Sl,µBRMmv,Od-BRM-mv,µÂBRM,OdSl-BRM,
995,BRM-um,"Dark green to dark brown, serpentinized ultramafic rocks.",,26,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=26,Elmtree,Elm,none,none,,Belledune River Mélange,BRM,none,,ultra mafic rocks,um,Late Ordovician,Lµ,L-Od,Early Silurian,EÂ,E-Sl,µBRMum,Od-BRM-um,µÂBRM,OdSl-BRM,
996,BLM-ii,"Grey, medium-grained, locally porphyritic tonalite, gradational to granodiorite and quartz diorite.",,28,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=28,Brookville,Bro,none,Golden Grove Plutonic Suite,GG,Belmont Tonalite,BLM,none,,intermediate intrusive rocks,ii,Early Cambrian,E£,E-Cm,Early Cambrian,E£,E-Cm,£BLMii,Cm-BLM-ii,ª£GG,EdCm-GG,
997,BNL-it,"Multi-coloured dacitic to rhyolitic lithic lapilli tuff, tuffaceous conglomerate and lesser crystal tuff; grey to light brown laminated siltstone/chert. ",,29,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=29,Caledonia,Cal,none,Coldbrook Group,CB,Ben Lomond Formation,BNL,none,,intermediate tuff,it,Late Ediacaran,Lª,L-Ed,Late Ediacaran,Lª,L-Ed,ªBNLit,Ed-BNL-it,ª£CB,EdCm-CB,
998,BNJ-cc,"Reddish brown to maroon volcaniclastic conglomerate,  and thin-bedded, reddish brown to grey lithic sandstone and siltstone.",,30,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=30,Tobique-Chaleur,Tob,none,Dickie Cove Group,DC,Benjamin Formation,BNJ,none,,coarse-grained clastic sedimentary rocks,cc,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBNJcc,Sl-BNJ-cc,ÂDC,Sl-DC,
999,BNJ-fv,"Pink to maroon, flow-layered, flow-folded, or massive, aphyric to feldspar-phyric rhyolite with minor lithic or lithic crystal tuff.",,30,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=30,Tobique-Chaleur,Tob,none,Dickie Cove Group,DC,Benjamin Formation,BNJ,none,,felsic flows,fv,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBNJfv,Sl-BNJ-fv,ÂDC,Sl-DC,
1000,BNJ-ft,"Pink, maroon, or light green lithic and lithic-crystal lapilli tuff with quartz and feldspar phenoclasts.",,30,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=30,Tobique-Chaleur,Tob,none,Dickie Cove Group,DC,Benjamin Formation,BNJ,none,,felsic tuff,ft,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBNJft,Sl-BNJ-ft,ÂDC,Sl-DC,
1001,BNJ-mv,"Dark greyish-green to maroon, massive to amygdaloidal basalt.",,30,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=30,Tobique-Chaleur,Tob,none,Dickie Cove Group,DC,Benjamin Formation,BNJ,none,,mafic flows,mv,Late Silurian,LÂ,L-Sl,Late Silurian,LÂ,L-Sl,ÂBNJmv,Sl-BNJ-mv,ÂDC,Sl-DC,
1002,BNB-it,"Grey-green, dacitic crystal tuff, crystal-lithic tuff and andesitic lithic lapilli tuffs; grey to buff, pyrite-rich felsite and felsic tuff; minor flow-banded rhyolite.",,31,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=31,Caledonia,Cal,none,Broad River Group,BR,Bennett Brook Formation,BNB,none,,intermediate tuff,it,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªBNBit,Ed-BNB-it,ªBR,Ed-BR,
1003,BNB-mv,"Basalt flows, locally with chlorite-filled amygdules.",,31,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=31,Caledonia,Cal,none,Broad River Group,BR,Bennett Brook Formation,BNB,none,,mafic flows,mv,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªBNBmv,Ed-BNB-mv,ªBR,Ed-BR,
1004,BNT-fi,"Greyish green to pink, medium-grained, weakly foliated, plagioclase-phyric granite.",,32,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=32,Miramichi South,Mms,none,none,,Benton Granite,BNT,none,,felsic intrusive rocks,fi,Middle Ordovician,Mµ,M-Od,Middle Ordovician,Mµ,M-Od,µBNTfi,Od-BNT-fi,µBNT,Od-BNT,
1005,BLH-t,"Maroon to red and greyish pink, mafic and felsic pyroclastic volcanic rocks, and minor maroon tuffaceous sandstone and red and green siltstone.",,33,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=33,New River,New,none,Belleisle Bay Group,BB,Beulah Camp Formation,BLH,none,,tuff,t,Late Ediacaran,Lª,L-Ed,Early Cambrian,E£,E-Cm,ªBLHt,Ed-BLH-t,ª£BB,EdCm-BB,
1006,BGB-fi,"Pink, medium- to coarse-grained, equigranular, foliated granite.",,35,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=35,Miramichi South,Mms,none,none,,Big Brook Granite,BGB,none,,felsic intrusive rocks,fi,Early Ordovician,Eµ,E-Od,Early Ordovician,Eµ,E-Od,µBGBfi,Od-BGB-fi,µBGB,Od-BGB,
1007,BSM-fv,"Grey to red and brown, porphyritic to aphyric, flow banded rhyolite.",,37,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=37,Late Devonian-Early Carboniferous Volcanic Rocks,Dcv,none,Piskahegan Group,PS,Big Scott Mountain Formation,BSM,none,,felsic flows,fv,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨BSMfv,Dv-BSM-fv,¨PS,Dv-PS,
1008,BSM-ft,"Grey to purple and maroon,  rhyolitic lithic to lithic-lapilli tuff and rhyolitic crystal tuff.",,37,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=37,Late Devonian-Early Carboniferous Volcanic Rocks,Dcv,none,Piskahegan Group,PS,Big Scott Mountain Formation,BSM,none,,felsic tuff,ft,Late Devonian,L¨,L-Dv,Late Devonian,L¨,L-Dv,¨BSMft,Dv-BSM-ft,¨PS,Dv-PS,
1009,BLK-mi,"Dark brown to green, massive to layered, medium- to coarse-grained, locally amphibolitized gabbro; local diabasic sheeted dykes, trondhjemite dykes, and minor pyroxenite, lithic wacke and shale.",,2031,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=2031,Elmtree,Elm,Fournier Supergroup,Devereaux Complex,DX,Black Point Gabbro,BLK,none,,mafic intrusive rocks,mi,Middle Ordovician,Mµ,M-Od,Middle Ordovician,Mµ,M-Od,µBLKmi,Od-BLK-mi,µDX,Od-DX,
1010,BRR-it,"Grey, well-cleaved andesitic crystal tuff",,38,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=38,Caledonia,Cal,none,Broad River Group,BR,Black River Road Formation,BRR,none,,intermediate tuff,it,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªBRRit,Ed-BRR-it,ªBR,Ed-BR,
1011,BLC-ii,"Medium- to coarse-grained, greyish green, strongly cataclastic granodiorite and granite, locally porphyritic with large K-feldspar phenocrysts; commonly intruded by dark grey diabasic dykes.",,39,http://dnr-mrn.gnb.ca/Lexicon/Lexicon/Lexicon_View_For_Mineral_Occurrence.aspx?LEXICON_ID=39,New River,New,none,none,,Blacks Harbour Granodiorite,BLC,none,,intermediate intrusive rocks,ii,Early Ediacaran,Eª,E-Ed,Early Ediacaran,Eª,E-Ed,ªBLCii,Ed-BLC-ii,ªBLC,Ed-BLC,
